Id,ServiceName,RetiringFeature,RetirementDate,Link
950,Cloud Services,Extended Support,3/31/2027,https://azure.microsoft.com/updates/?id=486344
43513,Entra Domain Services,Support for TLS 1.0/1.1,8/31/2025,https://azure.microsoft.com/updates/?id=487247
604,Microsoft Entra Id,VPN Gateway with Third-party App,3/31/2028,https://azure.microsoft.com/updates/?id=485535
494,Virtual Machines,"D, Ds, Dv2, Dsv2 and Ls series",5/1/2028,https://azure.microsoft.com/updates/?id=485569
337,Azure Functions,Support for Python 3.9,10/31/2025,https://azure.microsoft.com/updates/?id=489428
850,Windows Virtual Machines,Desired State Configuration extension,3/31/2028,https://azure.microsoft.com/updates/?id=485828
43512,Azure Monitor,Support for TLS 1.0 and 1.1,3/1/2026,https://learn.microsoft.com/azure/azure-monitor/fundamentals/best-practices-security#send-data-to-your-workspace-using-transport-layer-security-tls-12-or-higher
910,Azure Database for MySQL Flexible Server,Support for TLS 1.0 and 1.1,8/31/2025,https://learn.microsoft.com/azure/mysql/flexible-server/how-to-connect-tls-ssl
15,Azure Static Web Apps,Dedicated plan,10/31/2025,https://azure.microsoft.com/updates/?id=492371
14,App Service,.NET 9 (STS),5/12/2026,https://azure.microsoft.com/updates/?id=485077
499,Virtual Machines,DCsv2-series,6/30/2026,https://azure.microsoft.com/updates/?id=496104
341,Azure Kubernetes Service,VMware (preview),3/16/2026,https://azure.microsoft.com/updates/?id=500294
676,Azure Kubernetes Service,Support for Ubuntu 18.04,6/17/2025,https://azure.microsoft.com/updates/?id=485790
677,Azure Kubernetes Service,Support for Ubuntu 20.04,3/17/2027,https://azure.microsoft.com/updates/?id=485795
667,Azure Maps,Traffic v1 APIs,3/31/2028,https://azure.microsoft.com/updates/?id=485810
83,Azure Disks,Operating System (OS) Disks on Standard HDD,9/8/2028,https://azure.microsoft.com/updates/?id=500157
170,Azure App Service,Arc-enabled Kubernetes,3/31/2026,https://azure.microsoft.com/updates/?id=500016
365,Azure Databricks,Standard tier workspaces,10/1/2026,https://azure.microsoft.com/updates/?id=502623
416,Azure Storage Accounts,Blob and General-Purpose v1 Storage Accounts,9/1/2026,https://azure.microsoft.com/updates/?id=496964
50,Azure Monitor SCOM Managed Instance,LSv2-Series,9/30/2026,https://azure.microsoft.com/updates/?id=501673
